repoName,granularity,clone_type,language,reposType,nb_fragment
efcore,Block,type 3,csharp,Traditional,14313
efcore,Function,type 1,csharp,Traditional,6993
efcore,Function,type 2,csharp,Traditional,3996
efcore,Function,type 3,csharp,Traditional,10629
framework,Block,type 1,java,Traditional,13198
framework,Block,type 2,java,Traditional,2608
framework,Block,type 3,java,Traditional,6352
framework,Function,type 1,java,Traditional,9436
framework,Function,type 2,java,Traditional,1574
framework,Function,type 3,java,Traditional,5609
jellyfin,Block,type 1,csharp,Traditional,1664
jellyfin,Block,type 2,csharp,Traditional,701
jellyfin,Block,type 3,csharp,Traditional,2162
jellyfin,Function,type 1,csharp,Traditional,291
jellyfin,Function,type 2,csharp,Traditional,209
jellyfin,Function,type 3,csharp,Traditional,670
keras-sharp,Block,type 1,csharp,Deep Learning,112
keras-sharp,Block,type 2,csharp,Deep Learning,273
keras-sharp,Block,type 3,csharp,Deep Learning,116
keras-sharp,Function,type 2,csharp,Deep Learning,144
keras-sharp,Function,type 3,csharp,Deep Learning,61
knime-deeplearning,Block,type 1,java,Deep Learning,1862
knime-deeplearning,Block,type 2,java,Deep Learning,2108
knime-deeplearning,Block,type 3,java,Deep Learning,1111
knime-deeplearning,Function,type 1,java,Deep Learning,1329
knime-deeplearning,Function,type 2,java,Deep Learning,1361
knime-deeplearning,Function,type 3,java,Deep Learning,717
neuralnetworks,Block,type 1,java,Deep Learning,7341
neuralnetworks,Block,type 2,java,Deep Learning,16250
neuralnetworks,Block,type 3,java,Deep Learning,3959
neuralnetworks,Function,type 1,java,Deep Learning,3216
neuralnetworks,Function,type 2,java,Deep Learning,11665
neuralnetworks,Function,type 3,java,Deep Learning,2654
okhttp,Block,type 1,java,Traditional,562
okhttp,Block,type 2,java,Traditional,108
okhttp,Block,type 3,java,Traditional,799
okhttp,Function,type 1,java,Traditional,423
okhttp,Function,type 2,java,Traditional,100
okhttp,Function,type 3,java,Traditional,651
retrofit,Block,type 1,java,Traditional,1383
retrofit,Block,type 2,java,Traditional,267
retrofit,Block,type 3,java,Traditional,737
retrofit,Function,type 1,java,Traditional,1178
retrofit,Function,type 2,java,Traditional,207
retrofit,Function,type 3,java,Traditional,649
shadowsocks-windows,Block,type 2,csharp,Traditional,16
shadowsocks-windows,Block,type 3,csharp,Traditional,98
shadowsocks-windows,Function,type 2,csharp,Traditional,7
shadowsocks-windows,Function,type 3,csharp,Traditional,38
spring-framework,Block,type 1,java,Traditional,14523
spring-framework,Block,type 2,java,Traditional,4733
spring-framework,Block,type 3,java,Traditional,11701
spring-framework,Function,type 1,java,Traditional,9156
spring-framework,Function,type 2,java,Traditional,3380
spring-framework,Function,type 3,java,Traditional,12252
